Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
Meteorological - Hydrological:,Red Earth First Nation SK,14-Nov-16,Unknown,Unknown,576,Unknown
Flood,,,,,,
Biological:,Alberta and Saskatchewan,26-Oct-16,Unknown,Unknown,Unknown,"$16,700,000"
Epidemic,,,,,,
Hazardous Chemicals:,North Saskatchewan River SK,21-Jul-16,Unknown,Unknown,Unknown,Unknown
Leak / Spill Release,,,,,,
Meteorological - Hydrological:,Prairie Provinces,18-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Alberta and Saskatchewan,15-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,8-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,28-Jun-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,"Alberta, Saskatchewan, Manitoba and Ontario",24-Jun-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Alberta and Saskatchewan,22-Jul-15,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Northern Saskatchewan,1-Jul-15,Unknown,Unknown,13000,"$92,191,000"
Wildfire,,,,,,
Meteorological - Hydrological:,Prairie Provinces,12-Jun-15,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Southern Saskatchewan,25-Jun-14,0,0,500,"$19,387,000"
Flood,,,,,,
Meteorological - Hydrological:,Cumberland House SK,29-Apr-13,0,0,3000,"$43,309,000"
Flood,,,,,,
Meteorological - Hydrological:,Weyburn and Estavan SK,17-Jun-11,0,0,383,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Hall Lake SK,12-Jun-11,0,0,440,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Wollaston Lake SK,2-Jun-11,0,0,1137,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,North Battleford SK,22-Jul-10,0,0,45,"$112,000"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Saskatchewan,29-Jun-10,0,0,85,"$13,239,000"
Tornado,,,,,,
Meteorological - Hydrological:,Southern Alberta and Saskatchewan,17-Jun-10,0,0,2065,"$1,031,670,000"
Flood,,,,,,
Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown
Pandemic,,,,,,
Meteorological - Hydrological:,Saskatchewan and Alberta,1-Mar-09,0,0,0,Unknown
Drought,,,,,,
Biological:,Across Canada,1-Aug-08,22,57,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Regina SK,22-Jul-08,0,0,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Deschambault Lake SK,1-Jul-08,0,0,1000,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Northern Saskatchewan,30-Jun-08,0,0,2500,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Paddockwood SK,14-Apr-08,0,0,6,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Fishing Lake SK,25-May-07,0,0,600,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Fishing Lake SK,28-Apr-07,0,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Red Earth First Nation SK,19-Apr-07,0,0,691,"$125,800,000"
Flood,,,,,,
Meteorological - Hydrological:,Red Earth SK,13-Apr-06,0,0,1100,"$7,283,952"
Flood,,,,,,
Meteorological - Hydrological:,Northern Saskatchewan,23-Jul-05,0,0,0,"$2,597,891"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Cumberland House Cree First Nation SK,23-Jun-05,0,Unknown,2000,"$3,455,208"
Flood,,,,,,
Hazardous Chemicals:,Estevan SK,10-Aug-04,Unknown,Unknown,150,Unknown
Derailment Release,,,,,,
Biological:,"Across Canada, largely in the Greater Toronto area",13-Mar-03,44,375,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Hawes/Patuanak SK,28-Jun-02,0,0,103,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,"Crutwell, Dillon, Hatchett Lake, Pelican Narrows, Deschambeault, Wahpeton First Nation, Nordell, Peter Pond SK",28-Jun-02,0,0,480,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Turnor Lake SK,24-Jun-02,0,0,425,"$31,014"
Wildfire,,,,,,
Meteorological - Hydrological:,Montreal Lake SK,20-May-02,0,0,129,"$32,332"
Wildfire,,,,,,
Meteorological - Hydrological:,"Across Canada, concentrated in Saskatchewan and Alberta",1-Jun-01,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Vanguard SK,3-Jul-00,0,0,36,"$3,787,294"
Flood,,,,,,
Meteorological - Hydrological:,Saskatchewan,21-Jun-99,0,0,4,Unknown
Tornado,,,,,,
Meteorological - Hydrological:,La Ronge SK,1-Apr-99,0,0,40,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Southeastern Saskatchewan,1-Apr-99,0,0,0,"$1,717,172"
Flood,,,,,,
Meteorological - Hydrological:,South-Central Saskatchewan,30-Mar-97,0,0,516,"$1,319,475"
Flood,,,,,,
Meteorological - Hydrological:,Regina SK,26-Sep-95,0,0,0,"$13,353,120"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,North Central Saskatchewan,29-May-95,0,0,3338,"$91,585,747"
Wildfire,,,,,,
Meteorological - Hydrological:,Western MB,1-Apr-95,0,0,100,"$4,205,645"
Flood,,,,,,
Meteorological - Hydrological:,Northeastern Saskatchewan,1-Apr-95,0,0,0,"$7,572,381"
Flood,,,,,,
Meteorological - Hydrological:,Saskatchewan,22-May-94,0,0,0,"$9,589,470"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Saskatchewan,29-Jul-93,0,0,0,"$6,503,703"
Flood,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-93,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairies Provinces and Ontario,1-Jan-92,0,0,0,"$2,000,000"
Cold Event,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-92,0,0,0,"$580,597,523"
Drought,,,,,,
Hazardous Chemicals:,Grand Coulee SK,20-Nov-91,0,0,200,Unknown
Fire,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-91,0,0,0,"$146,557,019"
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-90,0,0,0,"$581,891,545"
Drought,,,,,,
Meteorological - Hydrological:,British Columbia to Ontario,18-Dec-89,7,0,0,"$536,488"
Cold Event,,,,,,
Meteorological - Hydrological:,Montmartre SK,1-Jul-89,0,0,0,Unknown
Tornado,,,,,,
Meteorological - Hydrological:,Yukon to Ontario,30-Jan-89,13,100,0,Unknown
Cold Event,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-89,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Saskatchewan and Alberta,16-Jul-86,1,0,0,"$17,889,807"
Flood,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-86,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Western Canada,1-May-85,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jun-84,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Northeast Saskatchewan,1-Jan-84,0,0,0,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Regina SK,8-Jul-83,0,0,0,"$20,614,195"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,6-Mar-83,0,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-83,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Across Canada,5-Jan-82,0,0,0,Unknown
Cold Event,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-81,0,0,0,"$1,854"
Drought,,,,,,
Transportation accident:,Webb SK,28-May-80,22,11,0,Unknown
Vehicle,,,,,,
Meteorological - Hydrological:,Yukon to Ontario,8-Feb-79,0,0,0,Unknown
Cold Event,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-77,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Saskatchewan,1-Mar-76,0,0,0,"$1,947,804"
Flood,,,,,,
Meteorological - Hydrological:,Regina SK,25-Jun-75,0,0,0,"$2,828,222"
Flood,,,,,,
Meteorological - Hydrological:,Saskatchewan,1-Apr-75,0,0,0,"$1,893,852"
Flood,,,,,,
Meteorological - Hydrological:,Saskatchewan,1-Jan-74,0,0,1400,"$6,611,800"
Flood,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-74,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Cedoux SK,27-Aug-73,0,0,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Western Prairies,23-Jul-71,0,0,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Qu'Appelle River Basin SK,1-Jan-69,0,0,0,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-69,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-68,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-67,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Southern Prairies,15-Dec-64,3,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-64,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-63,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-62,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,South Central Saskatchewan,30-May-61,0,0,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-61,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-60,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-59,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-58,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Manitoba and Saskatchewan,1-Jan-55,0,0,0,Unknown
Flood,,,,,,
Transportation accident:,Moose Jaw SK,7-Apr-54,37,0,0,Unknown
Air,,,,,,
Biological:,Across Canada,1-Jan-53,481,8000,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Eastend SK,1-Apr-52,0,0,0,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Regina SK,1-Nov-50,0,0,0,Unknown
Tornado,,,,,,
Meteorological - Hydrological:,Prairie Provinces,30-Jan-47,0,0,0,Unknown
Winter Storm,,,,,,
Transportation accident:,Estevan SK,15-Sep-46,20,0,0,Unknown
Air,,,,,,
Meteorological - Hydrological:,Prairie Provinces,14-Mar-41,76,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Saskatchewan,1-Jan-39,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Northern Saskatchewan,13-Jul-36,Unknown,Unknown,Unknown,Unknown
Wildfire,,,,,,
Meteorological - Hydrological:,Across Canada,5-Jul-36,1180,0,0,Unknown
Heat Event,,,,,,
Civil Incident:,Regina SK,1-Jun-35,1,0,0,Unknown
Rioting,,,,,,
Civil Incident:,Estevan SK,8-Sep-31,3,23,0,Unknown
Rioting,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-31,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-29,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Pike Lake SK,1-Apr-28,0,0,138,Unknown
Flood,,,,,,
Biological:,Across Canada,1-Mar-27,Unknown,0,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-24,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Southern Saskatchewan,1-Jan-21,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Southeastern Saskatchewan,22-Jul-20,4,13,Unknown,Unknown
Tornado,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-20,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-19,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-18,0,0,0,Unknown
Drought,,,,,,
Biological:,Across Canada,1-Jan-18,50000,2000000,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-17,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,North Saskatchewan River AB and SK,1-Jan-15,0,0,2000,Unknown
Flood,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-14,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Regina SK,30-Jun-12,28,100,2500,Unknown
Tornado,,,,,,
Meteorological - Hydrological:,Prairie Provinces,1-Jan-10,0,0,0,Unknown
Drought,,,,,,
